7
CFLAR_ENSG00000003402	CFLAR	protein_coding
CFLAR_ENSG00000232133	IMPDH1P10	processed_pseudogene
CFLAR_ENSG00000226312	CFLAR-AS1	antisense
CFLAR_ENSG00000238829	RNU7-45P	snRNA
CFLAR_ENSG00000235579	AC007283.4	processed_pseudogene
CFLAR_ENSG00000234431	AC007283.5	3prime_overlapping_ncRNA
HIPK3_ENSG00000110422	HIPK3	protein_coding
